City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kapaa,US,2021-11-12 22:25:13,22.0752,-159.319,82.38,69,40,3.0
1,Bluff,NZ,2021-11-12 22:25:19,-46.6,168.3333,50.43,91,100,18.45
2,Longyearbyen,SJ,2021-11-12 22:30:01,78.2186,15.6401,6.64,66,20,9.22
3,Soyo,AO,2021-11-12 22:30:01,-6.1349,12.3689,78.22,85,20,8.75
4,Rikitea,PF,2021-11-12 22:30:02,-23.1203,-134.9692,74.16,62,42,6.71
5,Itacoatiara,BR,2021-11-12 22:30:03,-3.1431,-58.4442,76.5,92,88,0.98
6,Torbay,CA,2021-11-12 22:30:03,47.6666,-52.7314,34.75,80,75,12.66
7,Aleksandrov Gay,RU,2021-11-12 22:30:04,50.147,48.5704,34.09,97,99,16.44
8,Flinders,AU,2021-11-12 22:30:05,-34.5833,150.8552,62.19,65,99,7.0
9,Provideniya,RU,2021-11-12 22:30:05,64.3833,-173.3,18.36,93,98,1.61
10,Hilo,US,2021-11-12 22:30:06,19.7297,-155.09,80.8,72,80,8.01
11,Khatanga,RU,2021-11-12 22:25:34,71.9667,102.5,-22.45,96,95,5.03
12,Busselton,AU,2021-11-12 22:30:07,-33.65,115.3333,52.05,61,46,14.23
13,Kruisfontein,ZA,2021-11-12 22:26:26,-34.0033,24.7314,56.88,91,30,3.78
14,Barabash,RU,2021-11-12 22:30:07,43.2,131.4833,17.28,52,13,2.44
15,Grajau,BR,2021-11-12 22:30:08,-5.8194,-46.1386,80.82,68,72,3.29
16,Kendallville,US,2021-11-12 22:30:08,41.4414,-85.265,40.32,82,90,19.57
17,Biritiba-Mirim,BR,2021-11-12 22:30:09,-23.5698,-46.0407,62.08,92,87,5.82
18,Swan River,CA,2021-11-12 22:30:09,52.1058,-101.2676,24.69,93,96,3.44
19,Zhangjiakou,CN,2021-11-12 22:30:10,40.81,114.8794,25.83,79,7,3.58
20,Vaini,TO,2021-11-12 22:25:54,-21.2,-175.2,82.56,78,75,6.91
21,Ushuaia,AR,2021-11-12 22:25:19,-54.8,-68.3,53.26,58,40,12.66
22,Jamestown,US,2021-11-12 22:30:10,42.097,-79.2353,51.12,56,1,5.99
23,Pevek,RU,2021-11-12 22:30:11,69.7008,170.3133,12.36,94,99,7.94
24,Garissa,KE,2021-11-12 22:30:11,-0.4536,39.6401,77.83,75,68,11.72
25,Harper,LR,2021-11-12 22:30:11,4.375,-7.7169,78.22,88,82,6.91
26,Hermanus,ZA,2021-11-12 22:30:12,-34.4187,19.2345,63.9,87,65,4.5
27,Meulaboh,ID,2021-11-12 22:30:12,4.1363,96.1285,73.9,90,93,3.94
28,Iqaluit,CA,2021-11-12 22:30:13,63.7506,-68.5145,13.73,85,90,5.99
29,Mundra,IN,2021-11-12 22:30:13,22.85,69.7333,77.43,35,45,6.93
30,Wawa,NG,2021-11-12 22:30:13,9.9022,4.4192,81.43,48,100,5.06
31,Axim,GH,2021-11-12 22:30:14,4.8699,-2.2405,78.94,87,53,5.61
32,Ibra,OM,2021-11-12 22:30:14,22.6906,58.5334,69.22,42,0,5.97
33,Thompson,CA,2021-11-12 22:25:26,55.7435,-97.8558,23.16,80,90,5.75
34,Hithadhoo,MV,2021-11-12 22:26:10,-0.6,73.0833,81.36,78,16,11.34
35,Muisne,EC,2021-11-12 22:30:15,0.6,-80.0333,80.71,83,87,7.94
36,Sur,OM,2021-11-12 22:30:15,22.5667,59.5289,76.08,52,0,6.96
37,Jacareacanga,BR,2021-11-12 22:30:16,-6.2222,-57.7528,74.57,88,79,2.15
38,Cape Town,ZA,2021-11-12 22:30:16,-33.9258,18.4232,67.08,73,75,1.01
39,Peniche,PT,2021-11-12 22:30:17,39.3558,-9.3811,58.62,93,6,8.43
40,Lavrentiya,RU,2021-11-12 22:30:17,65.5833,-171.0,13.14,89,98,0.96
41,Muros,ES,2021-11-12 22:27:17,42.7762,-9.0603,57.83,91,35,7.72
42,Yarada,IN,2021-11-12 22:30:18,17.65,83.2667,76.95,93,100,11.83
43,Mount Isa,AU,2021-11-12 22:25:41,-20.7333,139.5,65.97,39,0,16.11
44,Namibe,AO,2021-11-12 22:30:19,-15.1961,12.1522,68.74,88,8,7.34
45,Bredasdorp,ZA,2021-11-12 22:30:19,-34.5322,20.0403,60.28,81,72,5.17
46,Faanui,PF,2021-11-12 22:30:20,-16.4833,-151.75,78.42,68,79,11.25
47,Santa Rosa,PH,2021-11-12 22:30:20,14.3122,121.1114,80.85,79,98,11.65
48,Ilulissat,GL,2021-11-12 22:30:21,69.2167,-51.1,10.42,40,20,13.8
